layer,points,mean,std,min,max,used
central_points,57,0.0009454319769648703,0.0015904979604678916,0.0,0.006724541306944297,0
central_points,454,0.0001488767933636588,0.0011329985513202734,0.0,0.013859096099281931,0
central_points,197,0.0002569102327819251,0.0017890443118124928,0.0,0.017172426376134586,0
central_points,563,5.923693619651e-06,7.446186953855534e-05,0.0,0.0012320369682079502,0
central_points,99,0.0004997444075444415,0.0021546080325505344,0.0,0.013197889264800589,0
central_points,2782,1.5157979796426442e-06,4.707232932891755e-05,0.0,0.0018047044535478562,1
central_points,125,0.0011135683293593901,0.003671310062123976,0.0,0.030799346835437558,0
central_points,414,0.000422381361192626,0.001952575178945844,0.0,0.02665560163133538,0
central_points,159,0.00023056458742335627,0.0007142064109539763,0.0,0.007912750425818934,0
central_points,29,0.0022951578689719893,0.004426404014460794,0.0,0.015463462838112646,0
central_points,88,0.0014537223286119692,0.004096786906809693,0.0,0.022920786237095703,0
central_points,1008,6.00526251955488e-06,7.657068180527887e-05,0.0,0.001391465738148412,1
central_points,36,0.00035002294222443386,0.0012069074777958863,0.0,0.005257274591895955,1
central_points,649,4.88392164677255e-06,7.315832828332737e-05,0.0,0.001245706479540587,1
central_points,1649,2.612449353421439e-06,6.341478190952213e-05,0.0,0.001986712390134926,0
central_points,297,2.0843236736220508e-05,0.0002248153653923647,0.0,0.003058965501946176,1
central_points,59,7.358256113746935e-05,0.00031972878780406615,0.0,0.0016070058785259689,1
central_points,51,0.0007840742997323433,0.0029023170729557133,0.0,0.015133865176867486,1
central_points,203,2.8700513723510095e-05,0.000235910228363484,0.0,0.002114649766949306,0
central_points,1015,2.415634931992862e-06,4.692644836184105e-05,0.0,0.001113680664841965,0
central_points,71,0.0015224656849049656,0.00432079552761076,0.0,0.022110741424001747,0
central_points,143,0.0004491443277045296,0.0021175048522041285,0.0,0.016939141024304494,0
central_points,940,6.8870450889825315e-06,0.00011581131142217474,0.0,0.0023589334475353496,0
central_points,1179,2.2091610817287453e-06,4.3793567875333866e-05,0.0,0.0009276998259686309,1
central_points,784,2.1274300052464432e-05,0.00029721165462900457,0.0,0.006010477339973397,1
central_points,900,1.498318126442497e-06,3.1702523683466094e-05,0.0,0.0008816775099287355,1
central_points,111,0.0001803559025119721,0.0007043027854013576,0.0,0.00453605183700137,0
central_points,100,0.001125422225772237,0.0034819580526262483,0.0,0.022910993506211487,0
central_points,314,0.0003371193470576375,0.0022877681073499093,0.0,0.023106269750735764,0
central_points,94,0.00027738475906301447,0.0017975381180533499,0.0,0.015787124885058734,0
central_points,2646,1.0204244423865482e-05,0.00017814697092472708,0.0,0.00564207080187229,1
central_points,271,1.0464067444245252e-05,9.542328161663402e-05,0.0,0.0011162746068336116,1
central_points,22,6.071852113511676e-05,0.0001690952018267904,0.0,0.0006411133863765822,1
central_points,363,1.298421813967981e-05,0.00014347931329669969,0.0,0.0018185928891529812,0
central_points,26,0.0011146200757587205,0.0029945734525364696,0.0,0.015536728749468008,0
central_points,22,0.0004494668331918387,0.0006360475591707936,0.0,0.002478519031921387,0
central_points,418,1.073507345415413e-05,0.00014917278917166648,0.0,0.0026636710919643036,0
central_points,432,7.774633085116328e-05,0.001065681698407441,0.0,0.015664664382093463,0
central_points,248,0.0016446288366191455,0.0052377177680953645,0.0,0.03435357482684487,0
central_points,103,0.0031374817356139323,0.008903798042345024,0.0,0.05538976230922955,0
central_points,156,0.0010968035887810306,0.004098656278914837,0.0,0.03611798908280689,0
central_points,16,0.0030518003234646946,0.006716295581625016,0.0,0.02201153015473739,0
central_points,29,0.001196794663195513,0.004282492144023159,0.0,0.018018603766849495,0
central_points,86,0.0009488775384211946,0.0021630959685066562,0.0,0.01311676209668462,0
central_points,56,0.0007424886132571982,0.003392080064853364,0.0,0.024349067265238097,0
central_points,68,0.0024044836066478654,0.007913632557331745,0.0,0.05479000797651993,0
central_points,45,0.00019435186737591802,0.0007331073813140591,0.0,0.0032704294280581636,0
central_points,26,0.0008398018314046493,0.0023039044584200613,0.0,0.011558828687826032,0
central_points,482,0.00012865325937823466,0.0014125842343147429,0.0,0.021585587327304312,0
central_points,115,0.0005198929312700341,0.0023435904026347125,0.0,0.018332249817702984,0
central_points,39,0.0017596478334213478,0.0033423378381371724,0.0,0.01324134778713583,1
central_points,109,7.834001157863956e-05,0.00047508935657334707,0.0,0.0036279186274956743,0
central_points,29,0.0019649382505789385,0.0037899687309055855,0.0,0.011618945707270192,0
central_points,107,2.770775067125659e-05,0.00019419376079561198,0.0,0.001471804127208154,1
central_points,57,0.00020525228129320006,0.0009359714335688273,0.0,0.006010665875927579,0
central_points,46,0.001332380599004648,0.0019166687614225733,0.0,0.009943658953877898,0
central_points,28,0.0010436279736987855,0.0030853211901150303,0.0,0.012291532544385059,0
central_points,24,0.0025696628262493657,0.007070947233625098,0.0,0.02664315084292318,0
central_points,549,4.3321125560277345e-05,0.0005525260387792687,0.0,0.009902060634427556,0
central_points,40,0.0028560109122631153,0.00837672771690605,0.0,0.04375349798180028,0
central_points,97,0.0007858345875622719,0.0027484150527572904,0.0,0.016646416860494277,0
central_points,306,6.340872849037886e-06,7.28136986491179e-05,0.0,0.0009860857396120082,0
central_points,18,0.0013458405472417266,0.0021457967573954486,0.0,0.006714446055690191,0
central_points,60,0.005237860223401147,0.01702705897171909,0.0,0.10274849781987314,0
central_points,162,0.00038974068466231644,0.001366355472003335,0.0,0.013813575457738344,1
central_points,48,0.0004153610751943874,0.0017020372223632086,0.0,0.011371608086307751,1
central_points,58,0.002920547721939461,0.007162562730893548,0.0,0.030481802374239475,0
central_points,1098,7.651196627266927e-06,0.00015321767215220624,0.0,0.003555447666503897,0
central_points,120,0.0004193918025539077,0.0016386451084860658,0.0,0.013057109682046819,0
central_points,425,2.9397774921415068e-05,0.00023451625882632893,0.0,0.0028427673900797146,1
central_points,1591,9.420670103012168e-07,2.5177736222820754e-05,0.0,0.0007182724360035309,0
central_points,460,0.0002615107623641536,0.0005114165412519047,0.0,0.007042424951785933,0
central_points,465,5.551717760868597e-06,8.667208430886744e-05,0.0,0.0017479310850991858,0
central_points,165,0.0002205597788274224,0.0004879142099895411,0.0,0.0033489813396708826,0
central_points,57,0.00041630885856938903,0.0011949693715399689,0.0,0.005511124787549185,0
central_points,132,0.0013817118064148486,0.004446460587276008,0.0,0.0293976200873044,0
central_points,127,3.357855738899321e-05,0.0001749840562067635,0.0,0.0011257763923513409,0
central_points,39,0.0002997467372873668,0.0011548136423403946,0.0,0.006207215971322774,0
central_points,118,6.737131308374787e-06,3.3621507333607615e-05,0.0,0.00024634702487330573,0
