file,template,cluster_id,how,direction,shift_z,total,inliers,inlier_ratio,rmse_inliers,rmse_all,max_z_diff,corr_xy,corr_xy_upper,corr_yz,max_corr,icp_rmse,icp_fitness,side_a,side_b,not_same_side,time,distance
VieleZ,1,7,ICP to_point,src=tem,0,1001,534.0,0.5334665334665335,0.006272373587843677,0.01739127201690138,0.04526710062663308,0.08495539945479273,0.08476686642369768,0.00575261050818288,0.08495539945479273,0.010767572740961389,0.4035449299258038,,,,0.07453227043151855,0.05184044814307813
VieleZ,1,7,ICP to_plane,src=tem,0,1015,546.0,0.5379310344827586,0.006211818560837639,0.01855204758261261,0.04743210149521887,0.03446739207116557,0.06126002058344331,0.031039320786028286,0.06126002058344331,0.010518004070580213,0.3951291563616378,,,,0.0930333137512207,0.1688763848176521
VieleZ,1,7,ICP to_point,src=pcl,0,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.008922576904296875,
VieleZ,1,7,ICP to_plane,src=pcl,0,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.04183793067932129,
VieleZ,1,7,ICP to_point,src=tem,0.03,1000,849.0,0.849,0.004909301232901059,0.007164581119323165,0.0007087204772482647,0.03385568094441256,0.07064323255187538,0.04168370955493567,0.07064323255187538,0.011725883749750145,0.5662956856279198,,,,0.09849095344543457,0.00816532938794569
VieleZ,1,7,ICP to_plane,src=tem,0.03,1008,483.0,0.4791666666666667,0.0056898501789318465,0.015806047965733736,0.0006868910002278267,0.02943233081490355,0.0613921162946216,0.033407901066909745,0.0613921162946216,0.013110051859360632,0.5217779609782908,,,,0.08583307266235352,0.027135156983428624
VieleZ,1,7,ICP to_point,src=pcl,0.03,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.010713338851928711,
VieleZ,1,7,ICP to_plane,src=pcl,0.03,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.044228553771972656,
VieleZ,2,7,ICP to_point,src=tem,0,1003,481.0,0.4795613160518445,0.0060195593904804915,0.016103656079580787,0.0421928531879312,0.0875718676416783,0.08246073620255813,0.021013889731553836,0.0875718676416783,0.010274527745295154,0.6068439407149084,,,,0.06816768646240234,0.04901464906328183
VieleZ,2,7,ICP to_plane,src=tem,0,1009,499.0,0.49454905847373637,0.006191673450153978,0.016781131907809495,0.04330062475610193,0.038218813656802526,0.018317165597691004,0.05541098234878895,0.05541098234878895,0.01018992387932038,0.6044899738448125,,,,0.07792353630065918,0.05879844390424539
VieleZ,2,7,ICP to_point,src=pcl,0,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.006887197494506836,
VieleZ,2,7,ICP to_plane,src=pcl,0,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.0424191951751709,
VieleZ,2,7,ICP to_point,src=tem,0.03,1001,468.0,0.4675324675324675,0.005478651239557996,0.013553551710601805,0.012512068122880055,0.07871144774892144,0.10480751342700209,0.03674153252674742,0.10480751342700209,0.010808645888819812,0.5588055797733217,,,,0.06892180442810059,0.03891449339267544
VieleZ,2,7,ICP to_plane,src=tem,0.03,999,437.0,0.43743743743743746,0.005286592490424644,0.014951292647778374,0.001003961810247457,0.01880925981045284,0.05131420708239141,0.03932727535264449,0.05131420708239141,0.012687590506786244,0.6173060156931125,,,,0.03791999816894531,0.024870321673218378
VieleZ,2,7,ICP to_point,src=pcl,0.03,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.008152246475219727,
VieleZ,2,7,ICP to_plane,src=pcl,0.03,0,0,0,0,0,0,0.9956706565141804,0.9945067670342734,0.03685122981963473,0.9981011736201316,0.0,0.0,,,,0.03440594673156738,
Achszaehler1,,8,My,None,0,440,188.0,0.42727272727272725,0.005773841529449975,0.016644530629323223,0.000352536643579128,4.828510815904344e-17,0.5857614198445167,2.0681001002281266e-17,0.5857614198445167,,,0.2620320855614973,0.2620320855614973,0,0.0009386539459228516,
Achszaehler1,0,8,ICP to_point,src=tem,0,443,166.0,0.3747178329571106,0.006416735768986934,0.022436213785666497,0.040185771063470564,0.6081044316923359,0.3174902085962037,0.01814695336212343,0.6081044316923359,0.013782480740543399,0.18664473684210525,,,,0.052169084548950195,0.03949603959313507
Achszaehler1,0,8,ICP to_plane,src=tem,0,444,163.0,0.36711711711711714,0.0060139777489210565,0.024037703634534845,0.023899947232477625,0.7286077448434498,0.6785205755796083,0.4517220713171673,0.7286077448434498,0.013680419706952137,0.18092105263157895,,,,0.04204988479614258,0.05075170713794972
Achszaehler1,0,8,ICP to_point,src=pcl,0,446,320.0,0.7174887892376681,0.005524380201042855,0.01478199687285145,0.011793145074119188,0.5524502594947339,0.2074825932069464,0.07174731473243166,0.5524502594947339,0.00864019802544763,0.4760845383759733,,,,0.009218215942382812,
Achszaehler1,0,8,ICP to_plane,src=pcl,0,428,335.0,0.7827102803738317,0.004653119486845454,0.014845724842285794,0.006958260808750449,0.38675933837261134,0.15162954883350444,0.04853183879763206,0.38675933837261134,0.007220577816861235,0.4593993325917686,,,,0.020324230194091797,
Achszaehler1,0,8,ICP to_point,src=tem,0.03,445,322.0,0.7235955056179775,0.005202579655580406,0.015173336470624034,0.0009235634552063679,0.5037835083869808,0.15623113323320267,0.1528056439149513,0.5037835083869808,0.01344255849245472,0.3780263157894737,,,,0.04462838172912598,0.037530588439107594
Achszaehler1,0,8,ICP to_plane,src=tem,0.03,431,320.0,0.7424593967517401,0.00553372878534324,0.013558124006021978,0.0033287275476289527,0.22121781270462104,0.3213028298449206,0.1071670335367699,0.3213028298449206,0.013459469913220022,0.3713157894736842,,,,0.03857851028442383,0.04133716007320889
Achszaehler1,0,8,ICP to_point,src=pcl,0.03,446,324.0,0.726457399103139,0.004796646181542989,0.015289332287611507,0.009928990667280105,0.5112927920258531,0.10633566434269305,0.05573882491243433,0.5112927920258531,0.007869608724712682,0.4660734149054505,,,,0.007730722427368164,
Achszaehler1,0,8,ICP to_plane,src=pcl,0.03,436,331.0,0.7591743119266054,0.004824837225392948,0.014373950674512364,0.007795517282781113,0.2922375600703384,0.2933257508153518,0.008531941481523404,0.2933257508153518,0.007650708936039671,0.4649610678531702,,,,0.018909454345703125,
Achszaehler1,1,8,ICP to_point,src=tem,0,444,155.0,0.3490990990990991,0.006346075124832584,0.025566603844830386,0.04137535622208257,0.6181241044664536,0.303921875068912,0.16856040623717905,0.6181241044664536,0.013503226002491793,0.26119813135476777,,,,0.06869316101074219,0.04430005497142971
Achszaehler1,1,8,ICP to_plane,src=tem,0,433,136.0,0.3140877598152425,0.006115995470187772,0.027903172605910253,0.046729345947665396,0.7733775149736757,0.6826648821823742,0.038216872663870555,0.7733775149736757,0.013622386374931175,0.2532632591371256,,,,0.06838035583496094,0.06694898563538318
Achszaehler1,1,8,ICP to_point,src=pcl,0,445,323.0,0.7258426966292135,0.005362093107881882,0.014818599899873998,0.011525399116722929,0.5388787800414846,0.1695288556982874,0.06463200426420736,0.5388787800414846,0.008312143881751288,0.4738598442714127,,,,0.01561117172241211,
Achszaehler1,1,8,ICP to_plane,src=pcl,0,384,345.0,0.8984375,0.004482176946751888,0.010448364811249167,0.006823306659026376,0.49775064811450337,0.055481252601411145,0.04012291462133343,0.49775064811450337,0.006353373174142095,0.4460511679644049,,,,0.049933671951293945,
Achszaehler1,1,8,ICP to_point,src=tem,0.03,443,324.0,0.7313769751693002,0.005036299288505903,0.015264951132351889,0.0038696196453858675,0.5229285623937435,0.14480897002224388,0.07418465486751633,0.5229285623937435,0.013199398672595845,0.4327425116790327,,,,0.06768250465393066,0.03801463808015265
Achszaehler1,1,8,ICP to_plane,src=tem,0.03,431,326.0,0.7563805104408353,0.005317422592066158,0.014158877407504504,0.0063901345176540225,0.3331139142557769,0.21354525975370522,0.04618794755256753,0.3331139142557769,0.013219962174389614,0.4280708985985161,,,,0.25194859504699707,0.04134409193505374
Achszaehler1,1,8,ICP to_point,src=pcl,0.03,446,326.0,0.7309417040358744,0.00471439364325089,0.015361460170937438,0.008449978389217905,0.5013655501713006,0.08077425402797725,0.008251723587607495,0.5013655501713006,0.007582114231754275,0.4638487208008899,,,,0.04216957092285156,
Achszaehler1,1,8,ICP to_plane,src=pcl,0.03,435,327.0,0.7517241379310344,0.004747477993230845,0.014444523327552777,0.006707902344288003,0.2811200079479234,0.3084615169704041,0.018277035026247838,0.3084615169704041,0.007653224390052131,0.4671857619577308,,,,0.09780240058898926,
Achszaehler1,2,8,ICP to_point,src=tem,0,446,156.0,0.34977578475336324,0.006385450550423693,0.024255808266726252,0.04152760815255049,0.5945009702454509,0.2627134443934559,0.08840098797950341,0.5945009702454509,0.013238618463690857,0.4202266782911944,,,,0.09416699409484863,0.04264828855613398
Achszaehler1,2,8,ICP to_plane,src=tem,0,423,144.0,0.3404255319148936,0.006024799749600503,0.02586723223556361,0.040576045461596155,0.7081301680815476,0.5280005558819543,0.12904181479907453,0.7081301680815476,0.013351396608476205,0.4159546643417611,,,,0.10223865509033203,0.07458003901966508
Achszaehler1,2,8,ICP to_point,src=pcl,0,441,265.0,0.6009070294784581,0.005650539941695017,0.013950182765623867,0.02293115911897279,0.6049442132619518,0.43702849015418815,0.28220406893758754,0.6049442132619518,0.01023283556179683,0.4593993325917686,,,,0.023767471313476562,
Achszaehler1,2,8,ICP to_plane,src=pcl,0,485,318.0,0.6556701030927835,0.00504816135479351,0.018278106091022456,0.008652312967756717,0.11900289797273442,0.47038030831102656,0.04497443195618352,0.47038030831102656,0.008862634214721783,0.4783092324805339,,,,0.08282256126403809,
Achszaehler1,2,8,ICP to_point,src=tem,0.03,447,323.0,0.7225950782997763,0.0049614650771842485,0.015514160039761039,0.00453474183704055,0.5145480865126739,0.09483117561653953,0.004349993691168887,0.5145480865126739,0.013008908958608742,0.5295117698343504,,,,0.08980393409729004,0.037535749484773985
Achszaehler1,2,8,ICP to_plane,src=tem,0.03,445,327.0,0.7348314606741573,0.004969023190301068,0.015095167984595379,0.00480011251056877,0.26128455681536106,0.3336906853642827,0.01878982590387549,0.3336906853642827,0.01279776504200269,0.5178291194420227,,,,0.09197044372558594,0.03888341787661706
Achszaehler1,2,8,ICP to_point,src=pcl,0.03,446,327.0,0.7331838565022422,0.004947222894637143,0.015121885793981832,0.007872885368129606,0.47354539662985473,0.024341022333634398,0.024749498724201957,0.47354539662985473,0.008740612738981551,0.4660734149054505,,,,0.020682811737060547,
Achszaehler1,2,8,ICP to_plane,src=pcl,0.03,450,331.0,0.7355555555555555,0.0048517576466192685,0.01519573502999384,0.006352857717860233,0.20952582192185573,0.3958660794039373,0.0007707297493309928,0.3958660794039373,0.008319459622389998,0.4649610678531702,,,,0.08018851280212402,
Achszaehler2,,9,My,None,0,342,222.0,0.6491228070175439,0.005433469025423336,0.013742140712106757,0.002591102057617603,1.4954260076543845e-15,0.6606311906450557,6.945182564307817e-17,0.7649323532721054,,,0.4153846153846154,0.4153846153846154,0,0.00148773193359375,
