file,template,cluster_id,how,direction,shift_z,total,inliers,inlier_ratio,rmse_inliers,rmse_all,max_z_diff,corr_xy,corr_xy_upper,corr_yz,max_corr,icp_rmse,icp_fitness,side_a,side_b,not_same_side,time,distance
PunkteOben,1,12,ICP to_plane,src=tem,0.03,389,386.0,0.9922879177377892,0.0040040687203947425,0.004092619779534148,0.0023181716521817435,0.10933521018416877,0.12306789068422619,0.2498860875690345,0.29061706429319206,0.011883734994189755,0.38870568837592745,,,,0.16495203971862793,0.014675517737509343
PunkteOben,1,12,ICP to_point,src=pcl,0.03,391,300.0,0.7672634271099744,0.00426308261022457,0.00978105099651589,0.006235150034636011,0.11219007567334173,0.17762075117826087,0.029373604613160714,0.17762075117826087,0.007529155118448821,0.496757457846952,,,,0.03748202323913574,
PunkteOben,1,12,ICP to_plane,src=pcl,0.03,384,297.0,0.7734375,0.0041474860533553546,0.009577894571283206,0.007027920419301489,0.011890595117298548,0.03383034514825804,0.027184881675079348,0.05505011182544478,0.007740858612022321,0.4915693904020752,,,,0.08725738525390625,
PunkteOben,2,12,ICP to_point,src=tem,0,390,380.0,0.9743589743589743,0.005453590787837992,0.0056814954051814135,0.0006613210325313867,0.03666797023820389,0.10443344741836391,0.041597621565397175,0.10443344741836391,0.011814696142637377,0.5980383609415868,,,,0.09668326377868652,0.0043629469981138315
PunkteOben,2,12,ICP to_plane,src=tem,0,386,376.0,0.9740932642487047,0.00512923690827196,0.005351192125650699,0.00019778502839681855,0.17420223125002543,0.18771884831680632,0.13981306823501083,0.3113933869802332,0.011834501848410148,0.5847863993025283,,,,0.14348864555358887,0.04001380743426895
PunkteOben,2,12,ICP to_point,src=pcl,0,390,325.0,0.8333333333333334,0.005149423910219693,0.007009792272960844,0.0043003605893112765,0.07903878077882237,0.1317958800808128,0.04648653640235516,0.1317958800808128,0.008517804810569761,0.503242542153048,,,,0.019334793090820312,
PunkteOben,2,12,ICP to_plane,src=pcl,0,389,300.0,0.7712082262210797,0.0043925816469789665,0.009655174680163064,0.0046547091877690155,0.0037051159284967523,0.012825823250543086,0.08498092949508938,0.08498092949508938,0.008273293510420464,0.4721141374837873,,,,0.07179617881774902,
PunkteOben,2,12,ICP to_point,src=tem,0.03,390,381.0,0.9769230769230769,0.0054674282479031475,0.005678991428653131,0.0006924544231096674,0.03087063767971659,0.100616628931574,0.03917546321921081,0.100616628931574,0.011810366733349035,0.5977768090671316,,,,0.09346556663513184,0.00430487197327724
PunkteOben,2,12,ICP to_plane,src=tem,0.03,387,378.0,0.9767441860465116,0.005082610567001093,0.005290775920316999,0.000182713032659515,0.11157688365681653,0.11511562014262208,0.09440551755242424,0.19349890847048393,0.011818445211396002,0.5824760244115083,,,,0.2415158748626709,0.03297508261767891
PunkteOben,2,12,ICP to_point,src=pcl,0.03,389,301.0,0.7737789203084833,0.0044168868444731,0.00958631714433731,0.004464515174812833,0.043145364396952074,0.06793104023758632,0.09102644974005544,0.09102644974005544,0.00853261364722291,0.4785992217898833,,,,0.06869721412658691,
